2015,154,Não,Sim,Não,Não,812490,2226,RSU e Estação de Tratamento de Esgoto,Feira de Santana,Em operação,-12.2626,-38.988396,BA
2015,155,Não,Sim,Não,Não,796364,2181.8,RSU e Estação de Tratamento de Esgoto,Caruaru,Em operação,-8.283245,-35.937399,PE
2015,158,Não,Sim,Não,Não,57208,156.7,Agropecuária,Palmeiras do Tocantins,Em reforma,-6.606744,-47.631217,TO
2009,159,Sim,Sim,Não,Não,365000,1000,Indústria,Lagoa da Prata,Em operação,-20.003027,-45.539382,MG
2015,160,Sim,Não,Não,Não,109500,300,Agropecuária,Toledo,Em operação,-24.580194,-53.76705,PR
2016,161,Sim,Sim,Sim,Não,49163,134.7,Agropecuária,Mariluz,Em operação,-24.01308,-53.14831,PR
2015,162,Sim,Não,Não,Não,51100,140,Agropecuária,Bom Retiro do Sul,Em reforma,-29.654291,-51.904281,RS
2015,163,Sim,Não,Não,Não,1131500,3100,RSU e Estação de Tratamento de Esgoto,Betim,Em operação,-19.970482,-44.225353,MG
2015,164,Não,Sim,Não,Não,365000,1000,RSU e Estação de Tratamento de Esgoto,Ibirité,Em reforma,-20.02556,-44.057222,MG
2014,165,Sim,Não,Não,Não,1839600,5040,RSU e Estação de Tratamento de Esgoto,Montes Claros,Em operação,-16.6862,-43.853542,MG
2015,166,Sim,Não,Não,Não,157680,432,RSU e Estação de Tratamento de Esgoto,Pouso Alegre,Em reforma,-22.2211,-45.89121,MG
2018,167,Não,Sim,Sim,Não,1716246,4702,Agropecuária,Lucas do Rio Verde,Em operação,-12.374087,-56.221371,MT
2018,168,Não,Sim,Não,Não,2234696,6122.5,Agropecuária,Tapurah,Em operação,-12.74306,-56.511667,MT
2008,169,Não,Sim,Não,Não,858123,2351,Agropecuária,Vera,Em operação,-12.315648,-55.453134,MT
2015,170,Não,Sim,Não,Não,167602,459.2,Agropecuária,Nova Ponte,Em operação,-19.22611,-47.724167,MG
2016,171,Não,Sim,Não,Não,1460000,4000,Agropecuária,Serra do Salitre,Em operação,-19.109472,-46.679633,MG
2018,172,Não,Sim,Não,Não,1825000,5000,Agropecuária,Vargeão,Em operação,-26.831315,-52.124798,SC
2006,173,Sim,Não,Não,Não,364720,999.2,Agropecuária,Campo Verde,Em operação,-15.4364,-54.833457,MT
2015,175,Não,Sim,Sim,Não,291776,799.4,Agropecuária,Itiquira,Em operação,-17.454189,-54.469335,MT
2015,179,Não,Sim,Não,Não,143021,391.8,Agropecuária,Ouro Verde do Oeste,Em operação,-24.799878,-53.85699,PR
2016,183,Não,Sim,Não,Não,127378,349,Agropecuária,Campo Mourão,Em operação,-24.321213,-52.372698,PR
2015,185,Não,Sim,Não,Não,54708,149.9,Agropecuária,Entre Rios do Oeste,Em operação,-24.723347,-54.234651,PR
2018,187,Não,Sim,Não,Não,812490,2226,RSU e Estação de Tratamento de Esgoto,Camaragibe,Em operação,-8.015229,-34.97765,PE
2015,188,Não,Não,Sim,Não,252200,691,Agropecuária,Uberlândia,Em operação,-18.926892,-48.380452,MG
2015,189,Não,Não,Sim,Não,100880,276.4,Agropecuária,Uberlândia,Em operação,-18.9468,-48.470117,MG
2015,190,Sim,Não,Sim,Não,378000,1035.6,Agropecuária,Irani,Em operação,-27.008144,-51.921117,SC
2015,191,Sim,Não,Sim,Não,370800,1015.9,Agropecuária,Irani,Em operação,-26.998537,-51.918008,SC
2015,192,Sim,Não,Sim,Não,280800,769.3,Agropecuária,Faxinal dos Guedes,Em operação,-26.816869,-52.194633,SC
2015,193,Sim,Não,Sim,Não,90000,246.6,Agropecuária,Catanduvas,Em operação,-27.06944,-51.660278,SC
2015,194,Não,Não,Sim,Não,61200,167.7,Agropecuária,Toledo,Em operação,-24.592272,-53.848566,PR
2015,196,Não,Sim,Não,Não,255500,700,Agropecuária,Marechal Cândido Rondon,Em operação,-24.55639,-54.057778,PR
2016,200,Sim,Não,Não,Não,2000000,8000,Indústria,Cidade Gaúcha,Em operação,-23.359483,-52.935864,PR
2016,201,Sim,Não,Não,Não,875000,3500,Indústria,Cianorte,Em operação,-23.709523,-52.623661,PR
2016,202,Sim,Não,Não,Não,2000000,8000,Indústria,São Pedro do Turvo,Em operação,-22.743619,-49.696577,SP
2016,203,Sim,Não,Não,Não,1000000,4000,Indústria,Tapira,Em operação,-23.270526,-53.047539,PR
2016,204,Sim,Não,Não,Não,1500000,6000,Indústria,Guairaçá,Em operação,-22.93778,-52.686667,PR
2016,205,Sim,Não,Não,Não,3750000,15000,Indústria,Maria Helena,Em operação,-23.598593,-53.202346,PR
2016,206,Sim,Não,Não,Não,1250000,5000,Indústria,Amaporã,Em operação,-23.102003,-52.817829,PR
2016,207,Sim,Não,Não,Não,1377500,5510,Indústria,Santa Mônica,Em operação,-23.103653,-53.125648,PR
2016,208,Sim,Não,Não,Não,1836750,7347,Indústria,Araruna,Em operação,-23.977008,-52.551584,PR
2017,210,Não,Sim,Não,Não,167602,459.2,Agropecuária,Araguari,Em operação,-18.6427,-48.2454,MG
2016,211,Não,Sim,Não,Não,308388,844.9,Agropecuária,Brasília,Em operação,-15.82667,-47.921667,DF
2017,212,Não,Sim,Não,Não,167602,459.2,Agropecuária,Cabo Verde,Em operação,-21.49139,-46.400833,MG
2017,213,Não,Sim,Não,Não,589960,1616.3,Agropecuária,Carmo do Paranaíba,Em operação,-19.00111,-46.309167,MG
2017,214,Não,Sim,Não,Não,165367,453.1,Agropecuária,Elias Fausto,Em operação,-23.043056,-47.368611,SP
2017,216,Não,Sim,Não,Não,168049,460.4,Agropecuária,Iraí de Minas,Em operação,-18.985,-47.464722,MG
2016,218,Não,Sim,Sim,Não,730000,2000,Agropecuária,Jequeri,Em operação,-20.3848,-42.671,MG
2017,219,Não,Sim,Não,Não,214531,587.8,Agropecuária,Jequeri,Em operação,-20.45444,-42.665278,MG
2017,220,Não,Sim,Não,Não,167602,459.2,Agropecuária,Jequeri,Em operação,-20.35083,-42.74,MG
2017,221,Não,Sim,Não,Não,214352,587.3,Agropecuária,Jequeri,Em operação,-20.45444,-42.665278,MG
2016,222,Não,Sim,Não,Não,446939,1224.5,Agropecuária,Jequeri,Em operação,-20.3621,-42.678,MG
2016,223,Não,Sim,Não,Não,295650,810,Agropecuária,Lauro Muller,Em operação,-28.39167,-49.395833,SC
2018,224,Não,Sim,Não,Não,134082,367.3,Agropecuária,Leópolis,Em operação,-23.025438,-50.665157,PR
